index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution
Q22,E268_Tetrahydrofuran-3-carboxylic acid,C1COCC1C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC3CCOC3)C1CC2,0,1.4,100,14.4,0
Q25,"E28_4-IODOBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)I,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccc(I)cc4)CCC[C@]3(C)C2CC1,17.1,0,0,35.7,0
Q26,"E75_4-FLUORO-1-NAPHTHOIC ACID, 97%",C1=CC=C2C(=C1)C(=CC=C2F)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccc(F)c5ccccc45)CCC[C@]3(C)C2CC1,8.8,23.3,72.6,13.8,0
Q27,"E121_3,5-DI-TERT-BUTYL-4-HYDROXYBENZOIC ACID, 97%",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4cc(C(C)(C)C)c(O)c(C(C)(C)C)c4)CCC[C@]3(C)C2CC1,23.7,30.1,55.9,47.7,0
Q28,"E160_2,6-difluorobenzoic acid",C1=CC(=C(C(=C1)F)C(=O)O)F,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4c(F)cccc4F)CCC[C@]3(C)C2CC1,12,0,0,13.7,0
Q29,"E202_(9Z,12Z)-octadeca-9,12-dienoic acid",CCCCCC=CCC=CCCCCCCCC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CCCCCC=CCC=CCCCCCCCCNC[C@]1(C)CCC[C@]2(C)C3CCC(C(C)C)=CC3=CCC12,1.8,0,0,17,0
Q30,E248_3-(3-Pyridyl)propionic acid,C1=CC(=CN=C1)CCC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCCCc4cccnc4)CCC[C@]3(C)C2CC1,5.2,0,0,18.3,-27.01
Q31,E302_3-(2-Naphthyl)propanoic Acid,C1=CC=C2C=C(C=CC2=C1)CCC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCCCc4ccc5ccccc5c4)CCC[C@]3(C)C2CC1,2.4,4.1,62.9,22.3,0
Q32,"E44_4-PYRAZOLECARBOXYLIC ACID, 97+%",C1=C(C=NN1)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4cn[nH]c4)CCC[C@]3(C)C2CC1,13.5,0,0,3.1,0
Q33,E174_2-(4-fluorophenyl)acetic acid,C1=CC(=CC=C1CC(=O)O)F,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCCc4ccc(F)cc4)CCC[C@]3(C)C2CC1,1.9,11.8,86.1,-8.6,0
