gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000025423,HSD17B6,0.025241023,NA,NS
ENSG00000025434,NR1H3,-0.038817403,0.425901041,NS
ENSG00000025708,TYMP,0.012842842,0.826393179,NS
ENSG00000025770,NCAPH2,-0.108883509,0.006294222,NS
ENSG00000025772,TOMM34,-0.030610312,0.490391313,NS
ENSG00000025796,SEC63,-0.012123832,0.811627943,NS
ENSG00000025800,KPNA6,0.032876522,0.473474723,NS
ENSG00000026025,VIM,0.132018855,0.000637434,NS
ENSG00000026036,RTEL1-TNFRSF6B,-0.00473029,NA,NS
ENSG00000026103,FAS,-0.034742044,0.45621334,NS
ENSG00000026297,RNASET2,-0.016447814,0.749889991,NS
ENSG00000026559,KCNG1,-0.004711176,0.941215227,NS
ENSG00000026950,BTN3A1,-0.042260506,NA,NS
ENSG00000027001,MIPEP,-0.031652478,0.526071739,NS
ENSG00000027075,PRKCH,0.494162126,7.98E-23,NS
ENSG00000027697,IFNGR1,0.032735198,0.508418692,NS
ENSG00000027847,B4GALT7,-0.014731554,0.802129123,NS
ENSG00000027869,SH2D2A,0.006142929,NA,NS
ENSG00000028116,VRK2,0.021575001,0.685794627,NS
ENSG00000028137,TNFRSF1B,-0.011861387,NA,NS
ENSG00000028203,VEZT,0.070021355,0.060030175,NS
ENSG00000028310,BRD9,0.017805491,0.754875836,NS
ENSG00000028528,SNX1,-0.006993511,0.900453372,NS
ENSG00000028839,TBPL1,0.022432634,0.677303786,NS
ENSG00000029153,BMAL2,0.008771203,0.88730509,NS
ENSG00000029363,BCLAF1,0.031741209,0.393188983,NS
ENSG00000029364,SLC39A9,0.026176012,0.563702507,NS
ENSG00000029534,ANK1,-0.002587924,NA,NS
ENSG00000029639,TFB1M,0.000731721,0.991881516,NS
ENSG00000029725,RABEP1,0.10217641,0.002003002,NS
ENSG00000029993,HMGB3,-0.080688813,0.012978738,NS
ENSG00000030066,NUP160,0.035290296,0.394487718,NS
ENSG00000030110,BAK1,-0.045862314,0.314763275,NS
ENSG00000030419,IKZF2,0.027763841,NA,NS
ENSG00000030582,GRN,0.051281028,0.209691278,NS
ENSG00000031003,FAM13B,0.064088164,0.157467971,NS
ENSG00000031081,ARHGAP31,0.026543528,NA,NS
ENSG00000031691,CENPQ,0.009282481,0.881868243,NS
