FILE_NAME,FILE_TEXT,MS_FILE,INLET_FILE,SAMPLE_LOCATION,ID,INJ_VOL,Index,Job,User,1536loc,384loc,384plate
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F41_4_C17,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F41_4_C17,2min melodie,2m melodie,"7:C,17",ID_F41,0.2,F41,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F41,C17,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F42_4_C18,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F42_4_C18,2min melodie,2m melodie,"7:C,18",ID_F42,0.2,F42,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F42,C18,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F43_4_C19,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F43_4_C19,2min melodie,2m melodie,"7:C,19",ID_F43,0.2,F43,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F43,C19,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F44_4_C20,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F44_4_C20,2min melodie,2m melodie,"7:C,20",ID_F44,0.2,F44,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F44,C20,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F45_4_C21,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F45_4_C21,2min melodie,2m melodie,"7:C,21",ID_F45,0.2,F45,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F45,C21,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F46_4_C22,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F46_4_C22,2min melodie,2m melodie,"7:C,22",ID_F46,0.2,F46,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F46,C22,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F47_4_C23,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F47_4_C23,2min melodie,2m melodie,"7:C,23",ID_F47,0.2,F47,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F47,C23,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F48_4_C24,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F48_4_C24,2min melodie,2m melodie,"7:C,24",ID_F48,0.2,F48,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F48,C24,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H25_4_D1,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H25_4_D1,2min melodie,2m melodie,"7:D,1",ID_H25,0.2,H25,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H25,D1,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H26_4_D2,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_H26_4_D2,2min melodie,2m melodie,"7:D,2",ID_H26,0.2,H26,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,H26,D2,4.0
