gene_id,entrezgene_id,external_gene_name,description,transcript_id(s),14340-YK-1,14340-YK-2,14340-YK-3,14340-YK-4,14340-YK-5,14340-YK-6,14340-YK-7,14340-YK-8,14340-YK-9
ENSG00000004142,26073,POLDIP2,DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781],"ENST00000540200,ENST00000618887",17625,18989,19434,18485,19493,15973,18146,16660,16744
ENSG00000004399,23129,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],"ENST00000324093,ENST00000501038,ENST00000503166,ENST00000504524,ENST00000504689,ENST00000504767,ENST00000504979,ENST00000505237,ENST00000505505,ENST00000505665,ENST00000506979,ENST00000508630,ENST00000511018,ENST00000512744,ENST00000512807,ENST00000514990,ENST00000515191",138,145,122,169,152,118,146,157,139
ENSG00000004455,204,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],"ENST00000354858,ENST00000373449,ENST00000466029,ENST00000467905,ENST00000469238,ENST00000480134,ENST00000487289,ENST00000491241,ENST00000548033,ENST00000548559,ENST00000550338,ENST00000551979,ENST00000672308,ENST00000672715,ENST00000673291,ENST00000695598,ENST00000695599,ENST00000695600,ENST00000695601,ENST00000695602,ENST00000695603,ENST00000695604,ENST00000695605,ENST00000695606",16036.51,17148.84,17945.23,17603.88,17837.65,14815.14,17156.16,15305.67,15464.15
ENSG00000004468,952,CD38,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667],"ENST00000226279,ENST00000502843,ENST00000506191,ENST00000510674,ENST00000511430",3,5,9,13,13,5,9,9,9
ENSG00000004478,2288,FKBP4,FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720],"ENST00000001008,ENST00000538622,ENST00000539181,ENST00000540260,ENST00000543037,ENST00000543769,ENST00000544366,ENST00000630279",36495,39493,40912,39873,40572,32745,39100,34273,36039
ENSG00000004487,23028,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],"ENST00000356634,ENST00000400181,ENST00000465864,ENST00000481879,ENST00000494920,ENST00000602503,ENST00000685102,ENST00000685243,ENST00000686270,ENST00000686339,ENST00000686771,ENST00000686793,ENST00000686934,ENST00000687202,ENST00000688122,ENST00000688235,ENST00000688680,ENST00000688943,ENST00000689366,ENST00000689677,ENST00000689853,ENST00000689971,ENST00000690391,ENST00000690627,ENST00000690907,ENST00000691256,ENST00000691404,ENST00000691682,ENST00000691694,ENST00000691813,ENST00000692056,ENST00000692209,ENST00000692214,ENST00000692853,ENST00000692975,ENST00000693156",8030,9026,9508,8657,9001,7448,8760,8423,8167
ENSG00000004534,10180,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],"ENST00000266022,ENST00000419610,ENST00000421682,ENST00000422955,ENST00000425608,ENST00000433811,ENST00000434592,ENST00000438912,ENST00000441115,ENST00000442092,ENST00000443081,ENST00000446471,ENST00000454079,ENST00000464013,ENST00000466247,ENST00000478026,ENST00000483350,ENST00000488807,ENST00000491874,ENST00000493652",3285,3532,3489,3922,3608.15,3295,3439.15,3225,3206.36
ENSG00000004660,84254,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],"ENST00000158166,ENST00000348335,ENST00000381769,ENST00000573483",1839,2099,2065,2275,2306,2060,2203,2037,1934
ENSG00000004700,5965,RECQL,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948],"ENST00000314748,ENST00000396093,ENST00000421138,ENST00000444129,ENST00000536240,ENST00000536964,ENST00000539672,ENST00000542432",3406,3868,3931,3805,3759,3369,3590,3586,3547
ENSG00000004766,55610,VPS50,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956],"ENST00000251739,ENST00000305866,ENST00000436177,ENST00000438395,ENST00000441602,ENST00000443443,ENST00000458530,ENST00000458707,ENST00000467326,ENST00000471188,ENST00000474412,ENST00000476413,ENST00000477572,ENST00000477935,ENST00000480943,ENST00000484954,ENST00000485140,ENST00000485994,ENST00000495039,ENST00000544910,ENST00000649152",1035,1241,1226,1234,1211,1093,1226,1129,1109
ENSG00000004776,126393,HSPB6,heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511],"ENST00000004982,ENST00000587965,ENST00000592984",28,53,34,20,21,18,35,22,21
ENSG00000004777,115703,ARHGAP33,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085],"ENST00000007510,ENST00000221905,ENST00000314737,ENST00000378944,ENST00000586918,ENST00000587984,ENST00000588248,ENST00000589133,ENST00000590893,ENST00000591438,ENST00000593034,ENST00000601474",718,835,856,846,761,680,768,715,662
ENSG00000004779,4706,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],"ENST00000007516,ENST00000484769,ENST00000562133,ENST00000567761,ENST00000570319",9880,9748,10161,9455,10351,8390,9823,8328,8672
ENSG00000004799,5166,PDK4,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812],"ENST00000005178,ENST00000468445,ENST00000473301,ENST00000473796,ENST00000498190",2,0,1,0,0,1,0,0,0
ENSG00000004809,85413,SLC22A16,solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302],"ENST00000330550,ENST00000368919,ENST00000424139,ENST00000434949,ENST00000437378,ENST00000451557,ENST00000460159,ENST00000461487",3,3,4,3,2,1,4,5,2
ENSG00000004838,51364,ZMYND10,zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412],"ENST00000231749,ENST00000360165,ENST00000431869,ENST00000442887,ENST00000443080,ENST00000468182,ENST00000475688,ENST00000478269,ENST00000490675",148,140,167,112,109,111,130,131,123
ENSG00000004846,340273,ABCB5,ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46],"ENST00000258738,ENST00000404938,ENST00000406935,ENST00000441315,ENST00000443026,ENST00000477094",65,71,61,121,116,115,95,97,100
ENSG00000004848,170302,ARX,aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060],"ENST00000379044,ENST00000636609,ENST00000636885,ENST00000637394,ENST00000637993",74,84,70,102,109,67,63,76,78
ENSG00000004864,10165,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],"ENST00000265631,ENST00000416240,ENST00000472162,ENST00000484495,ENST00000487710,ENST00000490072,ENST00000492869,ENST00000494085",4382,5151,5133,5161,5056,4270,5146,4789,4666
